TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Phase 1: Reach & GRP Analysis Tab,High priority - data exists in cache_campaign_reach_week,1,1,,,,,
task,1.1 Add get_weekly_reach_data_sync() to streamlit_queries.py,Query cache_campaign_reach_week for weekly reach data,2,2,,,,,
task,1.2 Add get_full_campaign_reach_sync() to streamlit_queries.py,Query cache_campaign_reach_full for full campaign metrics,2,2,,,,,
task,1.3 Implement full campaign metrics row,Display total reach/GRP/frequency/impacts in 4-column layout,2,2,,,,,
task,1.4 Implement weekly reach table,Show individual week metrics with start/end dates,2,2,,,,,
task,1.5 Implement weekly bar chart,Plotly grouped bar chart for reach and impacts per week,2,2,,,,,
task,1.6 Implement cumulative build table,Running total of reach across weeks,2,2,,,,,
task,1.7 Implement reach curve line chart,Line chart showing cumulative reach build over time,2,2,,,,,
task,Phase 2: Executive Summary Tab,Low effort - uses existing data,2,1,,,,,
task,2.1 Implement performance grade calculation,Calculate A-F grade based on impacts per frame vs benchmark,3,2,,,,,
task,2.2 Implement key insights markdown section,Bullet points with total impressions/locations/playouts/duration,3,2,,,,,
task,2.3 Implement metrics summary table,Compact summary DataFrame with key metrics,3,2,,,,,
task,2.4 Implement mini daily chart,Small bar chart showing daily performance,3,2,,,,,
task,2.5 Implement CSV export button,st.download_button for campaign summary CSV,3,2,,,,,
task,Phase 3: Time Series Tab,Low effort - uses existing cached data,2,1,,,,,
task,3.1 Implement daily impacts line chart,Plotly line chart with markers showing impacts over time,3,2,,,,,
task,3.2 Implement hourly heatmap,px.imshow heatmap with day of week vs hour,3,2,,,,,
task,3.3 Implement day of week comparison bar chart,Bar chart comparing average impacts by weekday,3,2,,,,,
task,Phase 4: Geographic Analysis Tab,Medium effort - needs route_frames geo join,2,1,,,,,
task,4.1 Add get_geographic_data_sync() to streamlit_queries.py,Join cache_route_impacts_15min_by_demo with route_frames for geo data,3,2,,,,,
task,4.2 Implement UK map,Plotly scatter_mapbox centered on UK with frame locations,3,2,,,,,
task,4.3 Implement regional bar chart by TV region,Bar chart showing impacts aggregated by TV region,3,2,,,,,
task,4.4 Implement frame distribution sunburst,px.sunburst showing TV region > town hierarchy,3,2,,,,,
task,4.5 Implement performance metrics table,Regional breakdown with impacts/frames/avg per frame,3,2,,,,,
task,Phase 5: Look & Feel + Landing Page,Polish and enhance visual presentation,3,1,,,,,
task,5.1 Add metric card CSS styling,Gradient backgrounds with hover effects for metric cards,4,2,,,,,
task,5.2 Enhance table styling,Improved header colors and zebra striping for dataframes,4,2,,,,,
task,5.3 Define color palette constants,CHART_COLORS dict with primary/secondary/accent/gradient,4,2,,,,,
task,5.4 Add hero section with live stats,Header with campaign count/playouts/cached records,4,2,,,,,
task,5.5 Add quick stats row above campaign browser,4-column metrics row with summary statistics,4,2,,,,,
task,Phase 6: Testing & Documentation,Verify implementation and document,3,1,,,,,
task,6.1 Test all tabs with real campaign data,Load campaigns and verify all tabs render correctly,4,2,,,,,
task,6.2 Update handover documentation,Document changes and create session handover,4,2,,,,,
