frame_id,daily_cost,cost_per_thousand,notes
1001,250.00,5.50,City center premium location
1002,180.00,4.80,High street standard
1003,320.00,6.20,Digital spectacular
1004,150.00,4.50,Suburban location
1005,200.00,5.00,Train station
1006,280.00,5.80,Shopping center
1007,175.00,4.70,Bus shelter
1008,190.00,4.90,Roadside billboard
1009,350.00,7.00,Airport location
1010,220.00,5.20,University campus
1011,165.00,4.60,Residential area
1012,310.00,6.50,Entertainment district
1013,195.00,5.10,Business district
1014,240.00,5.40,Tourist area
1015,160.00,4.40,Local high street
